job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry,posting_date
AI00036,Head of AI,126942,EX,CT,Finland,L,0,"git, hadoop, data visualization",Associate,10,Finance,2024-01-31
AI00037,AI Architect,53752,MI,PT,Japan,M,100,"data visualization, tableau, aws, mathematics, python",Associate,2,Telecommunications,2024-10-17
AI00038,Robotics Engineer,111381,EX,CT,Israel,S,0,"linux, pytorch, sql, statistics",Master,18,Government,2024-01-14
AI00039,AI Specialist,41430,EN,PT,China,M,50,"tableau, docker, gcp",Bachelor,1,Healthcare,2024-06-15
AI00040,Data Engineer,166080,EX,FL,Netherlands,L,100,"computer vision, azure, tableau",Associate,15,Government,2024-03-01
AI00041,Data Scientist,96956,MI,FT,United States,M,0,"data visualization, azure, spark, mlops",Bachelor,2,Telecommunications,2024-02-24
AI00042,AI Architect,196954,SE,FL,United States,L,50,"java, mathematics, sql",Bachelor,8,Finance,2025-03-17
AI00043,AI Specialist,56745,EN,PT,Finland,L,100,"spark, mathematics, gcp",Associate,1,Telecommunications,2025-02-01
AI00044,Machine Learning Researcher,113455,SE,FT,Singapore,M,50,"hadoop, docker, python, azure",Associate,8,Retail,2024-04-24
AI00045,ML Ops Engineer,158808,SE,PT,Netherlands,M,50,"docker, r, linux",Bachelor,5,Media,2025-03-03
AI00046,AI Research Scientist,174663,SE,CT,United States,M,50,"data visualization, statistics, r",Associate,7,Media,2024-01-10
AI00047,AI Research Scientist,46753,EN,CT,India,S,50,"scala, java, tableau",PhD,1,Manufacturing,2024-11-16
AI00048,AI Software Engineer,69020,MI,FL,China,L,0,"java, azure, gcp",Bachelor,4,Energy,2024-09-05
AI00049,AI Specialist,288815,EX,PT,Switzerland,S,0,"deep learning, git, data visualization, linux, java",Bachelor,12,Manufacturing,2024-08-08
AI00050,AI Consultant,124871,EX,FL,Austria,M,50,"hadoop, aws, linux, docker, statistics",PhD,19,Media,2025-03-10
AI00051,AI Architect,70391,MI,FT,Germany,S,0,"deep learning, sql, mathematics",PhD,4,Government,2024-08-16
AI00052,Research Scientist,115376,EX,FT,India,M,100,"linux, r, azure, mathematics, git",Master,17,Technology,2024-03-12
AI00053,Research Scientist,106579,MI,PT,United States,S,100,"docker, tableau, mathematics",Associate,3,Gaming,2024-02-24
AI00054,Data Scientist,135230,SE,PT,Norway,S,100,"r, pytorch, kubernetes, computer vision",PhD,8,Consulting,2024-07-07
AI00055,Research Scientist,67607,MI,PT,Israel,S,50,"python, tableau, tensorflow, aws",Master,4,Media,2024-08-05
AI00056,AI Architect,88470,MI,PT,Canada,L,0,"azure, kubernetes, tensorflow, statistics, spark",Associate,3,Real Estate,2024-07-29
AI00057,Autonomous Systems Engineer,79863,MI,FL,India,L,100,"python, docker, gcp, scala",Associate,4,Automotive,2024-09-28
AI00058,Machine Learning Engineer,60299,EN,PT,Israel,L,100,"git, linux, python, tensorflow, mathematics",PhD,0,Finance,2025-03-22
AI00059,Machine Learning Engineer,85645,MI,FT,Germany,M,0,"pytorch, computer vision, r",Associate,4,Transportation,2024-02-09
AI00060,AI Software Engineer,110222,SE,FL,United Kingdom,S,0,"r, spark, aws",Associate,8,Media,2024-03-20
AI00061,Data Scientist,49365,EN,FT,China,M,0,"tableau, nlp, azure, statistics, pytorch",Associate,1,Finance,2024-06-22
AI00062,Data Scientist,162296,SE,PT,Norway,S,50,"tensorflow, azure, computer vision, data visualization",Bachelor,6,Finance,2024-06-05
AI00063,AI Consultant,102382,MI,PT,Switzerland,M,0,"tensorflow, scala, docker, statistics",PhD,3,Education,2024-03-23
AI00064,AI Software Engineer,99972,MI,PT,Australia,M,50,"java, r, deep learning, nlp, azure",PhD,4,Technology,2024-02-20
AI00065,Data Engineer,64129,EN,CT,South Korea,L,0,"java, git, deep learning",Bachelor,0,Manufacturing,2024-12-15
AI00066,AI Specialist,87938,SE,FT,Ireland,S,100,"mathematics, spark, python, aws",PhD,8,Education,2024-12-15
AI00067,Autonomous Systems Engineer,71405,MI,FL,Israel,L,0,"sql, java, mlops, linux, pytorch",Associate,4,Retail,2024-09-01
AI00068,Machine Learning Engineer,316182,EX,PT,Denmark,M,0,"python, scala, statistics, git",Associate,12,Finance,2025-02-09
AI00069,Machine Learning Researcher,72459,EN,PT,Germany,M,100,"hadoop, python, kubernetes, azure",Bachelor,0,Gaming,2024-08-30
AI00070,Principal Data Scientist,78338,MI,FT,France,L,100,"mlops, kubernetes, git, python",Associate,3,Technology,2024-10-31
AI00071,NLP Engineer,51907,MI,FL,Israel,M,100,"aws, kubernetes, azure",Bachelor,4,Healthcare,2024-02-14
AI00072,Autonomous Systems Engineer,122831,SE,FL,France,S,100,"pytorch, kubernetes, git, sql",Master,7,Real Estate,2024-05-31
AI00073,Machine Learning Researcher,124820,MI,FL,Norway,S,50,"nlp, azure, statistics, spark, mathematics",Associate,3,Real Estate,2024-08-02
AI00074,Autonomous Systems Engineer,134200,SE,PT,United Kingdom,S,50,"linux, r, tableau",PhD,9,Retail,2024-11-29
AI00075,Data Engineer,51920,EN,PT,Sweden,S,100,"scala, r, tableau, data visualization",PhD,0,Consulting,2025-04-08
AI00076,Data Engineer,56427,EN,FL,Singapore,M,100,"mathematics, kubernetes, spark",Master,0,Energy,2024-11-16
AI00077,AI Product Manager,213783,EX,FT,Canada,S,100,"kubernetes, spark, statistics, scala",Bachelor,16,Energy,2024-09-19
AI00078,ML Ops Engineer,59728,MI,FL,Israel,M,50,"mlops, sql, statistics",Associate,2,Finance,2024-06-10
AI00079,Computer Vision Engineer,119432,SE,CT,India,L,0,"scala, mlops, nlp",PhD,6,Technology,2024-04-20
AI00080,AI Research Scientist,284486,EX,CT,United States,M,0,"pytorch, linux, sql",Master,12,Consulting,2025-02-13
AI00081,Data Analyst,157597,EX,CT,France,L,50,"git, kubernetes, tensorflow, r, java",Bachelor,17,Manufacturing,2024-08-31
AI00082,ML Ops Engineer,196942,EX,CT,Australia,L,100,"r, tableau, sql, mlops, docker",Master,19,Gaming,2024-04-01
AI00083,Machine Learning Researcher,207548,EX,CT,Canada,M,0,"nlp, azure, spark, data visualization",PhD,10,Energy,2024-02-05
AI00084,NLP Engineer,68838,MI,FL,Sweden,S,50,"java, sql, spark, tableau, azure",PhD,3,Automotive,2024-06-20
AI00085,ML Ops Engineer,125666,EX,FL,Finland,L,100,"docker, python, git, kubernetes, java",PhD,13,Telecommunications,2024-06-19
AI00086,NLP Engineer,73174,EN,FT,Denmark,M,50,"git, mlops, hadoop, python, spark",Associate,0,Finance,2024-07-14
AI00087,Autonomous Systems Engineer,33314,EN,CT,Israel,S,50,"sql, kubernetes, docker",Bachelor,0,Manufacturing,2025-04-16
AI00088,AI Specialist,69914,EN,FT,United States,S,100,"r, nlp, sql, gcp",Associate,0,Transportation,2025-02-15
AI00089,Principal Data Scientist,152118,EX,FL,France,M,50,"spark, sql, python, mathematics, linux",Master,11,Automotive,2024-05-20
AI00090,AI Software Engineer,78014,EN,CT,France,L,50,"pytorch, hadoop, scala, computer vision",PhD,0,Real Estate,2024-11-19
AI00091,Research Scientist,48466,EN,PT,Canada,S,100,"hadoop, spark, kubernetes, python",Bachelor,0,Automotive,2025-03-10
AI00092,Data Analyst,97997,SE,CT,France,S,50,"hadoop, python, tensorflow, r, statistics",PhD,8,Technology,2024-06-19
AI00093,Principal Data Scientist,128341,SE,FL,Singapore,S,0,"computer vision, pytorch, gcp, linux",Bachelor,9,Finance,2025-04-26
AI00094,AI Research Scientist,111528,MI,FL,United States,L,0,"java, hadoop, mathematics",PhD,3,Real Estate,2024-03-01
AI00095,Machine Learning Researcher,138945,EX,PT,Canada,S,50,"linux, r, nlp, pytorch, git",Master,19,Education,2024-07-10
AI00096,NLP Engineer,98688,SE,FT,Israel,M,50,"statistics, python, tensorflow, pytorch, git",Bachelor,8,Manufacturing,2024-04-10
AI00097,Data Analyst,109029,SE,FT,France,S,0,"kubernetes, scala, java",Bachelor,6,Technology,2025-04-05
AI00098,NLP Engineer,84797,MI,FT,Canada,M,0,"deep learning, statistics, computer vision, tensorflow, mathematics",Master,4,Real Estate,2024-12-04
AI00099,Machine Learning Researcher,290199,EX,CT,Switzerland,L,50,"python, aws, kubernetes, deep learning",Master,12,Retail,2025-01-12
AI00100,AI Research Scientist,195691,SE,CT,United States,L,0,"aws, kubernetes, docker, mathematics, mlops",PhD,8,Transportation,2024-04-20
AI00101,AI Product Manager,193448,SE,FT,Norway,L,100,"scala, git, java",Associate,9,Consulting,2025-01-02
AI00102,AI Product Manager,138466,EX,PT,Israel,L,100,"azure, aws, pytorch, gcp, hadoop",Associate,16,Government,2024-01-25
AI00103,Data Analyst,91577,MI,CT,Netherlands,M,100,"spark, mathematics, pytorch, sql, tensorflow",Bachelor,3,Transportation,2024-01-27
AI00104,Computer Vision Engineer,92875,MI,FT,Sweden,S,0,"sql, python, deep learning",PhD,3,Real Estate,2024-07-21
AI00105,Data Engineer,213287,EX,FT,United Kingdom,S,100,"tensorflow, gcp, pytorch, spark",Master,13,Healthcare,2025-03-03
AI00106,NLP Engineer,62171,MI,FT,Japan,S,0,"git, sql, pytorch, mathematics",Bachelor,2,Consulting,2024-09-15
AI00107,AI Research Scientist,152658,EX,FL,South Korea,L,50,"data visualization, pytorch, spark, tensorflow",Associate,16,Automotive,2024-01-28
AI00108,ML Ops Engineer,95085,MI,FT,Norway,M,100,"tensorflow, sql, nlp, computer vision, git",Associate,2,Retail,2024-03-20
AI00109,Deep Learning Engineer,86750,MI,FL,France,S,100,"java, r, git, mathematics, spark",PhD,2,Government,2024-12-13
AI00110,AI Specialist,64261,MI,PT,Israel,M,0,"pytorch, docker, gcp",Master,2,Transportation,2024-09-04
AI00111,Machine Learning Researcher,205357,EX,PT,United States,S,100,"computer vision, hadoop, git, aws",Bachelor,18,Education,2024-03-08
AI00112,AI Architect,165676,EX,CT,France,S,50,"tensorflow, linux, sql, hadoop",Associate,18,Government,2024-05-13
AI00113,Computer Vision Engineer,114658,SE,CT,France,M,100,"sql, scala, python",Bachelor,9,Telecommunications,2024-03-18
AI00114,Data Scientist,143149,SE,FL,France,L,50,"nlp, computer vision, mathematics, statistics, r",Master,6,Real Estate,2024-03-13
AI00115,Machine Learning Researcher,116276,SE,FL,Germany,S,50,"azure, r, linux, mlops",Bachelor,7,Technology,2024-08-14
AI00116,NLP Engineer,61055,EN,FL,United States,M,100,"r, aws, computer vision, statistics, docker",Bachelor,0,Retail,2024-06-04
AI00117,ML Ops Engineer,50303,EN,FT,Austria,L,100,"kubernetes, sql, azure, deep learning, linux",Master,0,Gaming,2024-08-11
AI00118,Data Analyst,65570,SE,FL,Ireland,S,50,"pytorch, sql, mlops, aws, tensorflow",Associate,7,Retail,2024-10-22
AI00119,AI Software Engineer,231078,EX,FL,Singapore,M,50,"mlops, r, git, mathematics",Bachelor,17,Consulting,2024-04-15
AI00120,AI Product Manager,106633,SE,FT,Australia,M,100,"linux, scala, sql, git",Bachelor,9,Automotive,2024-05-18
AI00121,AI Specialist,121180,SE,FL,Austria,L,0,"git, deep learning, kubernetes, linux, gcp",Master,9,Media,2025-01-06
AI00122,Principal Data Scientist,64531,EN,PT,China,L,50,"git, sql, scala, python, computer vision",PhD,0,Retail,2025-03-26
AI00123,Machine Learning Engineer,125654,MI,CT,Singapore,L,50,"python, tableau, java",PhD,4,Automotive,2024-06-20
AI00124,Machine Learning Researcher,182275,EX,FT,Austria,L,0,"docker, aws, linux, git, azure",PhD,14,Technology,2025-04-19
AI00125,Machine Learning Researcher,117708,MI,FL,Denmark,L,0,"pytorch, scala, linux, tableau, deep learning",PhD,4,Transportation,2024-02-24
AI00126,Data Engineer,143246,EX,FT,South Korea,S,0,"docker, sql, kubernetes, git, statistics",Master,11,Healthcare,2024-12-25
AI00127,AI Product Manager,203198,SE,FT,Denmark,L,50,"statistics, r, python, tensorflow",Master,5,Consulting,2024-12-04
AI00128,Research Scientist,69487,EN,CT,Switzerland,S,0,"kubernetes, azure, spark, tensorflow, linux",Master,0,Transportation,2024-11-04
AI00129,AI Product Manager,95673,EX,FL,Ireland,S,0,"gcp, r, azure, deep learning, pytorch",Associate,17,Technology,2024-08-24
AI00130,AI Software Engineer,59405,EN,FL,Austria,L,100,"spark, python, deep learning, linux, java",Bachelor,1,Consulting,2025-03-18
AI00131,AI Specialist,131756,SE,PT,Netherlands,M,0,"aws, r, spark",PhD,5,Technology,2024-08-03
AI00132,AI Software Engineer,42835,EN,PT,South Korea,L,0,"python, tensorflow, pytorch",Bachelor,0,Media,2025-03-02
AI00133,Autonomous Systems Engineer,61893,EN,FT,Canada,M,50,"statistics, python, sql",Associate,1,Consulting,2024-03-28
AI00134,ML Ops Engineer,141791,EX,CT,France,M,0,"hadoop, azure, python, r",PhD,13,Media,2025-02-03
AI00135,AI Product Manager,258637,EX,PT,United Kingdom,M,50,"computer vision, gcp, azure, sql, python",Master,11,Education,2025-01-16
AI00136,NLP Engineer,49485,MI,FT,Finland,S,0,"hadoop, java, data visualization",Associate,2,Technology,2024-08-09
AI00137,Robotics Engineer,172916,SE,PT,Norway,S,100,"computer vision, sql, pytorch, java",Bachelor,8,Manufacturing,2024-12-29
AI00138,Machine Learning Engineer,324557,EX,FT,Denmark,L,100,"hadoop, python, git, tensorflow",PhD,11,Telecommunications,2024-11-06
AI00139,AI Consultant,73894,MI,CT,France,M,50,"pytorch, statistics, mlops, kubernetes, computer vision",Bachelor,4,Consulting,2024-08-08
AI00140,Principal Data Scientist,122598,SE,FT,Sweden,S,50,"linux, aws, computer vision, deep learning",Associate,9,Media,2025-01-05
AI00141,Data Scientist,94478,MI,FL,Denmark,S,100,"pytorch, tensorflow, hadoop, python",PhD,4,Retail,2024-05-24
AI00142,Autonomous Systems Engineer,53088,EN,PT,Austria,M,50,"gcp, kubernetes, computer vision, deep learning, sql",PhD,1,Finance,2025-04-12
AI00143,Machine Learning Researcher,116012,MI,FT,Denmark,M,0,"sql, mlops, python",Master,3,Automotive,2024-09-23
AI00144,Deep Learning Engineer,35593,EN,CT,China,S,0,"python, hadoop, deep learning",Bachelor,0,Media,2024-03-09
AI00145,AI Product Manager,149053,EX,FT,Austria,S,0,"gcp, linux, r, hadoop",Master,17,Media,2024-11-17
AI00146,Principal Data Scientist,88230,MI,FT,Austria,L,0,"tensorflow, git, azure, python",Associate,4,Education,2024-05-22
AI00147,AI Research Scientist,224919,EX,FL,Australia,M,100,"kubernetes, deep learning, pytorch",Associate,19,Education,2024-12-02
AI00148,Machine Learning Researcher,220439,EX,PT,Netherlands,S,100,"sql, data visualization, gcp, deep learning, mlops",Associate,12,Manufacturing,2024-03-30
AI00149,NLP Engineer,48861,EN,PT,Finland,S,100,"gcp, python, computer vision, git",Bachelor,0,Healthcare,2024-07-04
AI00150,AI Specialist,115841,SE,FL,United States,S,0,"tensorflow, kubernetes, deep learning",PhD,7,Healthcare,2024-10-25
AI00151,NLP Engineer,57266,MI,FL,Ireland,M,0,"computer vision, pytorch, linux, tensorflow",Bachelor,3,Media,2024-08-11
AI00152,Deep Learning Engineer,66384,MI,CT,Australia,S,0,"git, tableau, hadoop, computer vision",Associate,2,Government,2024-04-21
AI00153,Data Analyst,184637,EX,PT,Sweden,S,100,"r, sql, data visualization",Bachelor,11,Government,2024-05-23
AI00154,AI Research Scientist,92445,MI,CT,Netherlands,M,50,"linux, python, scala, docker",Bachelor,4,Technology,2024-10-22
AI00155,Machine Learning Researcher,57388,EN,FL,Canada,L,0,"python, gcp, tensorflow",Associate,1,Consulting,2024-01-12
AI00156,Head of AI,53374,MI,PT,China,M,0,"docker, deep learning, r",PhD,2,Government,2024-06-22
AI00157,AI Research Scientist,95716,SE,CT,Finland,S,50,"git, spark, azure, statistics",PhD,6,Media,2024-03-19
AI00158,NLP Engineer,157091,MI,FL,Norway,L,0,"python, java, kubernetes, sql, nlp",PhD,2,Transportation,2025-03-04
AI00159,ML Ops Engineer,204144,SE,FL,Norway,L,100,"hadoop, mathematics, linux",PhD,8,Telecommunications,2024-12-12
AI00160,AI Software Engineer,190314,EX,CT,Netherlands,M,100,"gcp, computer vision, scala, aws, linux",PhD,12,Government,2024-05-23
AI00161,Principal Data Scientist,198403,EX,FL,Denmark,M,50,"data visualization, sql, scala",Associate,15,Media,2024-03-14
AI00162,Research Scientist,153040,SE,CT,Canada,L,50,"sql, tableau, statistics, gcp",Bachelor,7,Manufacturing,2024-06-25
AI00163,AI Software Engineer,51898,MI,FL,Israel,S,0,"deep learning, python, nlp",Associate,2,Consulting,2024-10-05
AI00164,AI Architect,115191,SE,FL,Germany,S,0,"r, aws, git, tableau",Associate,7,Education,2024-07-10
AI00165,ML Ops Engineer,170139,SE,PT,United States,L,50,"python, spark, hadoop",Bachelor,5,Technology,2025-01-30
AI00166,ML Ops Engineer,63860,EN,CT,Canada,L,100,"linux, tensorflow, gcp, docker, azure",Master,0,Gaming,2024-08-02
AI00167,NLP Engineer,125152,MI,CT,Norway,M,100,"tensorflow, docker, aws, spark",PhD,3,Retail,2024-08-11
AI00168,AI Software Engineer,61572,EN,CT,South Korea,L,50,"linux, azure, kubernetes",Bachelor,0,Healthcare,2024-07-19
AI00169,Head of AI,101054,MI,CT,Germany,M,50,"statistics, tableau, java, data visualization, nlp",Master,3,Transportation,2024-01-06
AI00170,Data Engineer,145355,EX,CT,Canada,S,100,"spark, linux, aws, deep learning",Master,13,Media,2024-08-25
AI00171,Deep Learning Engineer,183484,EX,FT,Singapore,S,100,"scala, data visualization, tensorflow, mathematics, java",Master,19,Gaming,2024-11-20
AI00172,AI Product Manager,111997,MI,CT,Singapore,L,100,"pytorch, scala, hadoop, docker, computer vision",PhD,2,Technology,2025-03-15
AI00173,AI Specialist,214195,EX,PT,United Kingdom,M,100,"tableau, gcp, python",Bachelor,19,Manufacturing,2025-03-13
AI00174,AI Software Engineer,93211,SE,PT,India,M,50,"python, tensorflow, gcp, java",Master,9,Manufacturing,2025-01-08
AI00175,Deep Learning Engineer,82209,EN,PT,Germany,L,100,"statistics, tensorflow, python",Master,1,Transportation,2024-11-09
AI00176,AI Software Engineer,149669,SE,PT,Germany,M,50,"scala, hadoop, azure",Associate,9,Retail,2024-11-01
AI00177,AI Software Engineer,56825,MI,PT,China,M,50,"linux, azure, git, deep learning, spark",Associate,3,Government,2024-07-11
AI00178,Research Scientist,131635,MI,FT,Denmark,L,50,"kubernetes, git, gcp, nlp",PhD,2,Manufacturing,2024-03-10
AI00179,NLP Engineer,163843,SE,FL,Norway,L,50,"scala, python, data visualization, kubernetes, statistics",PhD,7,Telecommunications,2024-09-20
AI00180,AI Consultant,73281,MI,CT,India,L,0,"deep learning, azure, python",Bachelor,2,Technology,2025-01-28
AI00181,Principal Data Scientist,51907,MI,CT,South Korea,M,50,"statistics, aws, java, pytorch",Associate,3,Technology,2024-10-07
AI00182,NLP Engineer,178240,EX,FL,Netherlands,S,50,"python, spark, tensorflow",Bachelor,12,Real Estate,2024-06-01
AI00183,Machine Learning Researcher,83226,SE,FT,Ireland,S,0,"sql, docker, linux, gcp",Master,7,Technology,2024-11-19
AI00184,AI Product Manager,46995,EN,FT,Austria,S,100,"pytorch, nlp, mlops, azure",Master,1,Finance,2024-07-07
AI00185,AI Research Scientist,275296,EX,FT,Switzerland,L,0,"docker, azure, nlp",Associate,14,Transportation,2024-02-06
AI00186,Deep Learning Engineer,300422,EX,PT,Denmark,M,100,"python, tensorflow, r",Bachelor,11,Education,2024-09-30
AI00187,AI Product Manager,116704,MI,CT,Canada,L,100,"sql, pytorch, nlp, data visualization",Bachelor,2,Finance,2024-03-30
AI00188,AI Specialist,98422,EN,PT,United States,L,0,"java, python, mathematics",PhD,0,Transportation,2024-05-23
AI00189,Machine Learning Researcher,210249,EX,PT,Norway,M,100,"mathematics, docker, deep learning",Master,15,Gaming,2024-12-20
AI00190,NLP Engineer,67708,MI,FL,South Korea,S,0,"nlp, r, scala, computer vision, azure",Master,3,Manufacturing,2024-06-10
AI00191,Data Engineer,95796,EX,FL,Austria,S,100,"python, tensorflow, scala, aws",Master,13,Consulting,2024-10-15
AI00192,Head of AI,229098,EX,PT,Denmark,L,50,"pytorch, sql, kubernetes, git, java",Master,17,Government,2024-02-01
AI00193,ML Ops Engineer,134300,EX,CT,Ireland,S,50,"java, python, deep learning, statistics",Master,11,Education,2024-07-14
AI00194,AI Specialist,74408,EN,CT,Australia,M,100,"tensorflow, docker, r, nlp, java",Associate,1,Automotive,2024-08-07
AI00195,AI Architect,201971,EX,FT,Netherlands,M,0,"java, scala, tableau",PhD,13,Technology,2024-07-17
AI00196,AI Software Engineer,180764,EX,CT,France,S,100,"gcp, tensorflow, data visualization",Master,17,Gaming,2025-02-17
AI00197,Principal Data Scientist,49644,EN,CT,China,L,100,"linux, pytorch, tensorflow, azure, python",Bachelor,0,Finance,2025-02-15
AI00198,AI Product Manager,89115,SE,CT,South Korea,M,50,"mlops, python, linux, nlp",Master,7,Energy,2025-03-22
AI00199,AI Software Engineer,38540,EN,PT,Austria,S,0,"linux, kubernetes, spark, java",Associate,1,Technology,2025-01-29
AI00200,AI Product Manager,180252,SE,FT,United States,L,50,"tensorflow, kubernetes, sql, linux, mathematics",Master,7,Telecommunications,2024-02-14
AI00201,Robotics Engineer,56585,EN,FT,Netherlands,S,0,"mlops, java, aws, nlp, pytorch",Master,1,Gaming,2024-10-25
AI00202,AI Specialist,103942,SE,FL,Sweden,M,0,"statistics, python, tensorflow",PhD,5,Education,2025-02-07
AI00203,Autonomous Systems Engineer,176009,SE,FL,United Kingdom,L,50,"pytorch, sql, tensorflow, git, azure",Bachelor,9,Automotive,2024-02-25
AI00204,AI Specialist,59056,MI,CT,Ireland,M,50,"scala, sql, deep learning, statistics, gcp",Associate,2,Healthcare,2024-08-23
AI00205,AI Consultant,76940,MI,FT,Austria,M,0,"aws, scala, docker",Associate,3,Transportation,2025-03-29
AI00206,Machine Learning Engineer,110341,SE,CT,United Kingdom,M,0,"spark, kubernetes, mathematics",PhD,7,Retail,2025-03-20
AI00207,Data Scientist,102922,MI,FL,United Kingdom,L,0,"python, sql, git",Associate,4,Government,2024-06-14
AI00208,Machine Learning Researcher,44130,EN,FT,Japan,S,0,"python, gcp, docker, git, java",Master,0,Technology,2024-11-22
AI00209,Data Engineer,128112,SE,CT,Singapore,L,100,"mathematics, hadoop, tableau",Associate,5,Telecommunications,2024-11-26
AI00210,Data Analyst,48892,EN,CT,France,M,100,"linux, python, nlp",Bachelor,0,Consulting,2024-10-08
AI00211,Research Scientist,127478,MI,CT,United Kingdom,L,50,"java, docker, hadoop",Master,4,Transportation,2025-03-26
AI00212,AI Research Scientist,100524,SE,FL,Finland,M,0,"python, kubernetes, statistics, tensorflow",PhD,6,Gaming,2024-03-29
AI00213,Deep Learning Engineer,45429,EN,FT,Japan,L,0,"gcp, deep learning, python, mlops",Associate,0,Gaming,2024-09-14
AI00214,ML Ops Engineer,62262,MI,FT,Austria,L,100,"r, sql, aws, mlops, data visualization",Bachelor,4,Healthcare,2025-03-19
AI00215,AI Specialist,68595,MI,FT,China,S,50,"azure, python, tensorflow, data visualization",Master,4,Manufacturing,2024-01-30
